"id","name","bn_name","code","hrms_code","city","phone","email","routing_no","address","recommended_manpower","description","parent_id","type","created_at","updated_at"
142,"Bamna Branch, Barguna","বামনা শাখা, বরগুনা","0609","BR32",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:39:27"
143,"Barguna Branch, Barguna","বরগুনা শাখা, বরগুনা","0601","BR33",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:39:37"
144,"Betagi Branch, Barguna","বেতাগী শাখা, বরগুনা","0603","BR34",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:39:47"
145,"Chandkhali Branch, Barguna","চান্দখালী শাখা, বরগুনা","0604","BR35",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:39:58"
146,"Charduani Bazar Branch, Barguna","চরদুয়ানী বাজার শাখা, বরগুনা","0611","BR36",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:40:12"
147,"Dowatala Branch, Barguna","ডৌয়াতলা শাখা, বরগুনা","0615","BR37",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:40:24"
148,"Fuljhury Bazar Branch, Barguna","ফুলঝুড়ি বাজার শাখা, বরগুনা","0610","BR38",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:40:34"
149,"Gourichanna Branch, Barguna","গৌরিচন্না শাখা, বরগুনা","0616","BR39",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:40:42"
150,"Hosnabad Branch, Barguna","হোসনাবাদ শাখা, বরগুনা","0613","BR40",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:40:51"
151,"Kukua Branch, Barguna","কুকুয়া শাখা, বরগুনা","0608","BR41",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:41:03"
152,"Lemua Branch, Barguna","লেমুয়া শাখা, বরগুনা","0614","BR42",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:41:13"
155,"Taltali Branch, Barguna","তালতলী শাখা, বরগুনা","0607","BR45",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:41:39"
156,"Bhola Branch, Bhola","ভোলা শাখা, ভোলা","0301","BR46",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:42:41"
157,"Borhanganj Bazar Branch, Bhola","বোরহানগঞ্জ বাজার শাখা, ভোলা","0315","BR47",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:42:52"
158,"Borhanuddin Branch, Bhola","বোরহানউদ্দিন শাখা, ভোলা","0305","BR48",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:43:01"
159,"Char Fashion Branch, Bhola","চর ফ্যাশন শাখা, ভোলা","0308","BR49",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:43:13"
160,"Dakkhin Aicha Bazar Branch, Bhola","দক্ষিন আইচা বাজার শাখা, ভোলা","0316","BR50",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:43:26"
161,"Daulatkhan Branch, Bhola","দৌলতখান শাখা, ভোলা","0304","BR51",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:43:35"
162,"Dularhat Branch, Bhola","দুলারহাট শাখা, ভোলা","0309","BR52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:43:42"
163,"Ilishahat Branch, Bhola","ইলিশাহাট শাখা, ভোলা","0302","BR53",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:43:55"
164,"Janata Bazar Branch, Bhola","জনতা বাজার শাখা, ভোলা","0313","BR54",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:44:05"
165,"Keramatganj Bazar Branch, Bhola","কেরামতগঞ্জ বাজার শাখা, ভোলা","0314","BR55",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:44:13"
166,"Kunjer Hat Branch, Bhola","কুঞ্জের হাট শাখা, ভোলা","0311","BR56",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:44:23"
167,"Lalmohan Branch, Bhola","লালমোহন শাখা, ভোলা","0306","BR57",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:44:32"
168,"Letra Bazar Branch, Bhola","লেতরা বাজার শাখা, ভোলা","0310","BR58",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:44:46"
169,"Manpura Branch, Bhola","মনপুরা শাখা, ভোলা","0318","BR59",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:44:56"
171,"Raichand Branch, Bhola","রায়চাঁদ শাখা, ভোলা","0312","BR61",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:45:15"
172,"Tazumuddin Branch, Bhola","তজুমদ্দিন শাখা, ভোলা","0303","BR62",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:45:23"
173,"Amua Branch, Jhalakathi","আমুয়া শাখা, ঝালকাঠি","0408","BR63",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:46:04"
